"Time","nacosdb-mysql-0","nacosdb-mysql-1","nacosdb-mysql-2","tsdb-mysql-0","tsdb-mysql-1","tsdb-mysql-2","ts-admin-basic-info-service-d8d4b4ff9-s7zth","ts-admin-order-service-787856598f-fl56n","ts-admin-route-service-5d486755c-mxt4j","ts-admin-travel-service-7d4d447494-lz7vv","ts-admin-user-service-c544d7b74-xj8pn","ts-assurance-service-569ffd759f-nzddv","ts-auth-service-5cd94cf4c9-pr4sc","ts-avatar-service-ff8977c96-z6h7t","ts-basic-service-c57455994-5rf52","ts-cancel-service-55b6778574-7zfnb","ts-config-service-55f74d8b79-mt2ln","ts-consign-price-service-764c676495-rblv4","ts-consign-service-69fdbff744-t4nnm","ts-contacts-service-69864b9cd7-j7kng","ts-delivery-service-857d89f589-nrpbf","ts-execute-service-667756b4bf-vrl4r","ts-food-delivery-service-85c449576c-7jtrf","ts-food-service-85b5445f7-69dvs","ts-gateway-service-8585c745cd-mn5vn","ts-inside-payment-service-7f87878d9f-mqp8l","ts-news-service-7665fdf4c-hlrml","ts-notification-service-66777dd945-g9l6f","ts-order-other-service-6666b4d4d-x6l64","ts-order-service-69885cc6c8-4mcjr","ts-payment-service-7fc4c49d89-7zrgj","ts-preserve-other-service-5b9bbf9cf-hjzpg","ts-preserve-service-56dfc8d6d-vnlpb","ts-price-service-55c8646c4c-hjw4b","ts-rebook-service-79586f4dbc-lh6w9","ts-route-plan-service-6594877d59-qrh8f","ts-route-service-6f5855dc47-7ht8z","ts-seat-service-54f7bb8465-rzgwd","ts-security-service-7fd5f9ff9c-k4nxj","ts-station-food-service-bbffbd779-qbpwz","ts-station-service-798774f5d-dpsf5","ts-ticket-office-service-9979b76f9-ztj64","ts-train-food-service-f544897f-jd76n","ts-train-service-c7fc88877-mm8n9","ts-travel-plan-service-57865655f6-vklhv","ts-travel-service-699599cdf5-mffdb","ts-travel2-service-5db558f8d9-4tk7g","ts-ui-dashboard-7b5d44c888-gqlfj","ts-user-service-77988d68d8-kp6gg","ts-verification-code-service-58d4c7b777-p96jk","ts-voucher-service-7545b4fb7c-v46q2","ts-wait-order-service-6f7f78bb5d-8f78g","nacosdb-mysql-0","nacosdb-mysql-1","nacosdb-mysql-2","tsdb-mysql-0","tsdb-mysql-1","tsdb-mysql-2"
2024-01-02 14:12:50,1.4%,1.4%,1.2%,1.5%,1.3%,1.3%,0.2%,0.2%,0.3%,0.4%,15.7%,7.6%,48.2%,0.0%,0.3%,0.4%,0.4%,0.3%,0.3%,0.4%,0.4%,0.2%,0.4%,14.9%,63.8%,0.4%,0.0%,0.4%,0.4%,0.5%,0.3%,0.2%,0.2%,0.4%,0.2%,0.2%,0.4%,0.3%,0.3%,0.3%,0.4%,0.0%,3.3%,0.3%,0.2%,28.7%,0.4%,1.4%,19.1%,0.3%,0.0%,0.3%,5.1%,5.2%,4.2%,5.0%,4.3%,3.8%
2024-01-02 14:12:55,1.3%,1.3%,1.2%,1.6%,1.2%,1.2%,0.2%,0.2%,0.3%,0.3%,15.8%,7.5%,47.9%,0.0%,0.3%,0.4%,0.4%,0.3%,0.3%,0.4%,0.4%,0.2%,0.4%,15.8%,58.2%,0.4%,0.0%,0.3%,0.4%,0.5%,0.3%,0.2%,0.3%,0.4%,0.2%,0.2%,0.3%,0.3%,0.3%,0.3%,0.4%,0.0%,7.2%,0.2%,0.2%,35.9%,0.4%,1.5%,19.2%,0.3%,0.0%,0.4%,4.4%,4.8%,3.7%,5.0%,4.0%,3.5%
2024-01-02 14:13:00,1.3%,1.4%,1.3%,1.7%,1.3%,1.3%,0.2%,0.3%,0.3%,0.3%,15.9%,7.6%,45.7%,0.0%,0.3%,0.4%,0.4%,0.3%,0.3%,0.4%,0.3%,0.2%,0.4%,17.4%,51.7%,0.4%,0.0%,0.4%,0.4%,0.5%,0.3%,0.2%,0.2%,0.4%,0.3%,0.2%,9.1%,0.2%,0.3%,1.7%,0.3%,0.0%,7.3%,0.2%,0.2%,40.4%,0.3%,1.7%,19.1%,0.3%,0.0%,0.3%,4.7%,5.1%,4.1%,4.9%,3.8%,3.5%
2024-01-02 14:13:05,1.3%,1.3%,1.2%,1.8%,1.2%,1.2%,0.2%,0.3%,0.3%,0.3%,16.2%,7.4%,35.9%,0.0%,0.3%,0.3%,0.3%,0.3%,0.2%,5.5%,0.3%,0.2%,0.4%,19.3%,50.9%,0.4%,0.0%,0.3%,0.4%,0.4%,0.3%,0.2%,0.3%,0.4%,0.3%,0.2%,9.6%,0.2%,0.3%,6.5%,0.4%,0.0%,7.2%,0.2%,0.3%,36.3%,0.4%,1.7%,19.6%,0.2%,0.0%,0.3%,4.2%,4.6%,3.6%,4.5%,3.9%,3.3%
2024-01-02 14:13:10,1.4%,1.4%,1.2%,1.9%,1.3%,1.3%,0.2%,0.3%,0.3%,0.3%,16.3%,7.5%,27.0%,0.0%,0.2%,0.3%,0.3%,0.3%,0.2%,16.4%,0.3%,0.2%,0.4%,19.7%,50.3%,0.4%,0.0%,0.4%,0.4%,0.5%,0.3%,0.3%,1.7%,0.4%,0.3%,0.2%,9.6%,0.2%,0.3%,6.6%,0.4%,0.0%,7.3%,0.2%,0.3%,33.6%,0.4%,1.8%,19.0%,0.2%,0.0%,0.4%,4.7%,4.9%,4.0%,4.3%,4.1%,3.3%
2024-01-02 14:13:15,1.3%,1.3%,1.1%,1.8%,1.2%,1.3%,0.2%,0.3%,0.3%,0.3%,10.0%,7.4%,22.4%,0.0%,0.2%,0.3%,0.3%,0.3%,0.3%,16.6%,0.3%,0.2%,0.4%,19.3%,48.0%,0.4%,0.0%,0.4%,0.4%,0.4%,0.3%,0.3%,11.2%,0.4%,0.3%,0.2%,9.6%,0.2%,0.3%,6.8%,0.4%,0.0%,7.2%,0.2%,0.3%,33.1%,0.4%,1.8%,19.3%,0.2%,0.0%,0.3%,4.2%,4.3%,3.4%,4.2%,3.8%,3.4%
2024-01-02 14:13:20,1.4%,1.3%,1.2%,1.8%,1.2%,1.3%,0.2%,0.3%,0.3%,0.3%,2.9%,7.4%,22.2%,0.0%,0.3%,0.3%,0.3%,0.3%,0.3%,16.8%,0.3%,0.2%,0.4%,19.4%,46.8%,0.4%,0.0%,0.4%,0.4%,0.4%,0.3%,0.3%,15.3%,0.4%,0.3%,0.2%,9.5%,0.2%,6.5%,6.5%,0.4%,0.0%,7.2%,0.3%,0.3%,31.4%,0.4%,1.8%,18.9%,0.3%,0.0%,0.3%,4.4%,4.3%,3.5%,4.2%,3.9%,4.0%
2024-01-02 14:13:25,1.3%,1.3%,1.1%,1.8%,1.2%,1.3%,0.2%,0.3%,0.3%,0.3%,1.5%,7.6%,22.2%,0.0%,0.3%,0.3%,0.3%,0.3%,0.3%,16.7%,0.3%,0.2%,0.4%,19.5%,47.2%,0.4%,0.0%,0.4%,0.6%,5.3%,0.3%,0.3%,15.2%,0.4%,0.3%,0.2%,9.3%,0.3%,11.7%,6.5%,0.4%,0.0%,7.3%,0.3%,0.3%,30.2%,0.4%,1.8%,8.7%,0.2%,0.0%,0.3%,4.4%,4.3%,3.7%,4.4%,4.1%,3.8%
2024-01-02 14:13:30,1.4%,1.4%,1.2%,1.9%,1.2%,1.2%,0.2%,0.3%,0.2%,0.3%,0.8%,7.4%,14.3%,0.0%,0.3%,0.3%,0.3%,0.2%,0.3%,18.4%,0.2%,0.2%,0.4%,19.5%,44.6%,0.3%,0.0%,0.4%,8.5%,7.3%,0.3%,0.3%,19.6%,0.4%,0.3%,0.2%,9.5%,0.3%,16.1%,6.7%,0.3%,0.0%,7.0%,0.3%,0.3%,30.8%,0.2%,1.8%,1.9%,0.2%,0.0%,0.3%,4.4%,4.5%,4.0%,4.4%,3.9%,4.1%
2024-01-02 14:13:35,1.3%,1.4%,1.1%,1.8%,1.1%,1.2%,0.3%,0.3%,0.2%,0.3%,0.7%,2.2%,8.2%,0.0%,0.3%,0.3%,0.3%,0.2%,0.3%,18.6%,0.2%,0.2%,0.2%,19.4%,43.0%,0.3%,0.0%,0.4%,8.6%,10.6%,0.3%,0.4%,20.6%,0.3%,0.3%,0.2%,9.4%,0.3%,16.4%,6.7%,0.3%,0.0%,7.2%,0.3%,0.3%,31.2%,0.2%,1.7%,0.7%,0.3%,0.0%,0.3%,4.4%,4.4%,3.7%,4.4%,3.6%,3.8%
2024-01-02 14:13:40,1.4%,1.3%,1.2%,1.9%,1.1%,1.3%,0.2%,0.3%,0.3%,0.2%,1.4%,0.2%,12.0%,0.0%,0.3%,0.3%,0.3%,0.2%,0.3%,18.2%,0.2%,0.2%,0.2%,13.1%,37.8%,0.3%,0.0%,0.4%,8.5%,10.5%,0.3%,0.4%,20.4%,0.3%,0.3%,0.2%,9.4%,0.3%,16.6%,6.6%,0.3%,0.0%,7.2%,0.3%,0.3%,35.1%,0.2%,1.7%,1.2%,0.2%,0.0%,0.2%,4.5%,4.9%,3.7%,4.6%,3.6%,4.1%
2024-01-02 14:13:45,1.3%,1.3%,1.2%,2.1%,1.2%,1.3%,0.3%,0.3%,0.3%,0.3%,1.8%,0.6%,22.2%,0.0%,0.3%,0.3%,0.3%,0.2%,0.3%,20.1%,0.2%,0.2%,0.2%,5.1%,38.0%,0.3%,0.0%,0.3%,8.8%,11.2%,0.2%,0.4%,21.3%,0.3%,0.3%,0.2%,10.0%,0.3%,17.2%,7.6%,0.3%,0.0%,4.7%,0.3%,0.3%,37.9%,0.2%,1.8%,2.4%,0.2%,0.0%,0.2%,4.0%,4.4%,3.4%,4.1%,3.5%,3.7%
2024-01-02 14:13:50,1.3%,1.3%,1.2%,2.4%,1.3%,1.3%,0.3%,0.3%,0.3%,0.2%,2.2%,1.3%,31.5%,0.0%,0.3%,0.3%,0.2%,0.2%,0.3%,22.6%,0.2%,0.2%,0.2%,5.6%,37.4%,0.2%,0.0%,0.3%,9.3%,12.5%,0.2%,0.4%,22.1%,0.2%,0.3%,0.2%,10.7%,0.3%,18.6%,7.8%,0.3%,0.0%,1.3%,0.3%,0.3%,33.0%,0.2%,1.9%,3.7%,0.2%,0.0%,0.2%,4.3%,4.4%,3.7%,4.5%,3.7%,4.2%
2024-01-02 14:13:55,1.4%,1.3%,1.2%,2.4%,1.2%,1.3%,0.3%,0.2%,0.3%,0.2%,2.7%,1.6%,40.0%,0.0%,0.3%,0.3%,0.2%,0.2%,0.3%,22.9%,0.3%,0.2%,0.2%,3.9%,37.8%,0.2%,0.0%,0.3%,9.3%,12.8%,0.2%,0.4%,23.1%,0.2%,0.2%,0.2%,2.0%,0.3%,18.7%,6.4%,0.3%,0.0%,1.6%,0.2%,0.3%,26.7%,0.2%,1.9%,4.2%,0.2%,0.0%,0.2%,4.1%,4.3%,3.4%,4.1%,3.8%,4.2%
2024-01-02 14:14:00,1.3%,1.3%,1.3%,2.6%,1.3%,1.4%,0.3%,0.2%,0.3%,0.2%,3.1%,2.0%,49.6%,0.0%,0.3%,0.2%,0.2%,0.2%,0.3%,19.3%,0.3%,0.2%,0.2%,2.5%,35.1%,0.2%,0.0%,0.3%,9.6%,13.2%,0.2%,0.4%,23.1%,0.2%,0.3%,0.2%,1.8%,0.3%,19.5%,2.1%,0.3%,0.0%,1.9%,0.2%,0.2%,24.4%,0.2%,2.0%,4.5%,0.2%,0.0%,0.2%,4.5%,4.7%,3.4%,4.7%,3.6%,4.0%
2024-01-02 14:14:05,1.3%,1.3%,1.2%,2.7%,1.3%,1.4%,0.3%,0.2%,0.3%,0.2%,3.4%,2.3%,57.4%,0.0%,0.3%,0.2%,0.2%,0.2%,0.3%,10.7%,0.3%,0.3%,0.2%,3.2%,33.3%,0.2%,0.0%,0.3%,9.8%,14.4%,0.2%,0.3%,23.2%,0.2%,0.3%,0.2%,2.7%,0.3%,21.8%,2.5%,0.3%,0.0%,2.2%,0.2%,0.2%,26.9%,0.2%,2.0%,4.9%,0.2%,0.0%,0.2%,4.0%,4.6%,3.9%,4.6%,3.7%,4.3%
2024-01-02 14:14:10,1.3%,1.3%,1.2%,3.1%,1.3%,1.5%,0.3%,0.2%,0.3%,0.2%,3.9%,2.8%,66.2%,0.0%,0.3%,0.2%,0.2%,0.2%,0.2%,12.0%,0.3%,0.3%,0.2%,3.8%,32.4%,0.3%,0.0%,0.3%,10.6%,14.9%,0.2%,0.3%,14.8%,0.2%,0.3%,0.2%,3.0%,0.3%,22.7%,2.8%,0.3%,0.0%,2.7%,0.2%,0.2%,28.6%,0.2%,2.1%,5.7%,0.2%,0.0%,0.2%,4.4%,5.0%,3.9%,4.7%,3.5%,4.0%
2024-01-02 14:14:15,1.3%,1.3%,1.2%,3.2%,1.4%,1.5%,0.3%,0.2%,0.3%,0.2%,4.6%,3.0%,75.6%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,12.7%,0.3%,0.3%,0.2%,4.4%,32.8%,0.3%,0.0%,0.3%,10.8%,16.6%,0.2%,0.3%,12.0%,0.3%,0.3%,0.2%,3.3%,0.3%,17.7%,3.1%,0.3%,0.0%,3.1%,0.2%,0.2%,29.2%,0.2%,2.2%,6.8%,0.2%,0.0%,0.2%,4.2%,4.9%,4.1%,4.7%,3.7%,3.7%
2024-01-02 14:14:20,1.4%,1.3%,1.2%,3.5%,1.4%,1.4%,0.3%,0.2%,0.3%,0.2%,5.0%,3.4%,85.4%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,13.7%,0.3%,0.3%,0.2%,5.5%,33.9%,0.3%,0.0%,0.3%,11.5%,12.4%,0.2%,0.3%,12.6%,0.3%,0.3%,0.2%,3.9%,0.2%,13.4%,3.4%,0.3%,0.0%,3.7%,0.2%,0.2%,30.6%,0.2%,2.2%,7.2%,0.2%,0.0%,0.2%,4.2%,4.9%,4.0%,4.5%,3.8%,3.6%
2024-01-02 14:14:25,1.3%,1.3%,1.2%,3.6%,1.4%,1.5%,0.3%,0.2%,0.3%,0.2%,5.3%,4.0%,94.9%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,12.8%,0.3%,0.3%,0.2%,6.8%,35.3%,0.3%,0.0%,0.3%,3.8%,10.9%,0.2%,0.3%,8.6%,0.3%,0.3%,0.2%,4.2%,0.2%,9.6%,3.7%,0.3%,0.0%,4.0%,0.2%,0.2%,29.6%,0.2%,2.3%,7.4%,0.2%,0.0%,0.2%,4.2%,4.6%,3.6%,4.5%,3.4%,3.5%
2024-01-02 14:14:30,1.3%,1.3%,1.2%,3.8%,1.5%,1.5%,0.3%,0.3%,0.3%,0.2%,5.8%,4.3%,100.0%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,13.0%,0.3%,0.3%,0.2%,7.3%,37.9%,0.3%,0.0%,0.3%,4.0%,8.1%,0.2%,0.2%,8.2%,0.3%,0.3%,0.2%,5.2%,0.2%,10.1%,3.9%,0.3%,0.0%,4.2%,0.2%,0.2%,31.5%,0.2%,2.4%,8.1%,0.2%,0.0%,0.2%,3.9%,4.3%,3.6%,4.4%,3.4%,3.9%
2024-01-02 14:14:35,1.3%,1.2%,1.2%,4.0%,1.5%,1.5%,0.3%,0.3%,0.2%,0.2%,5.3%,4.7%,100.0%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,14.4%,0.3%,0.3%,0.2%,7.8%,36.0%,0.3%,0.0%,0.3%,4.3%,9.1%,0.2%,0.3%,9.8%,0.3%,0.3%,0.2%,5.4%,0.2%,16.5%,4.1%,0.3%,0.0%,4.6%,0.2%,0.3%,29.2%,0.3%,2.4%,7.7%,0.2%,0.0%,0.2%,3.8%,4.2%,3.6%,4.2%,3.8%,3.5%
2024-01-02 14:14:40,1.4%,1.2%,1.2%,4.1%,1.5%,1.5%,0.2%,0.2%,0.2%,0.2%,5.2%,4.7%,99.9%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,13.6%,0.3%,0.3%,0.2%,7.9%,34.9%,0.3%,0.0%,0.3%,4.3%,8.8%,0.2%,0.3%,11.9%,0.3%,0.3%,0.2%,5.4%,0.2%,24.2%,3.6%,0.3%,0.0%,4.5%,0.2%,0.2%,26.5%,0.3%,2.4%,6.9%,0.2%,0.0%,0.2%,4.2%,4.7%,4.2%,4.7%,3.8%,3.9%
2024-01-02 14:14:45,1.4%,1.2%,1.2%,3.9%,1.4%,1.5%,0.3%,0.2%,0.2%,0.2%,7.7%,8.8%,99.9%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,11.9%,0.3%,0.3%,0.2%,7.2%,34.4%,0.3%,0.0%,0.3%,4.1%,8.1%,0.2%,0.3%,11.0%,0.3%,0.3%,0.2%,5.0%,0.2%,25.2%,4.4%,0.3%,0.0%,3.9%,0.2%,0.3%,25.0%,0.3%,2.4%,5.9%,0.2%,0.0%,0.2%,4.1%,4.7%,3.9%,4.4%,3.6%,3.6%
2024-01-02 14:14:50,1.3%,1.3%,1.2%,4.1%,1.5%,1.5%,0.3%,0.2%,0.2%,0.2%,7.5%,17.4%,99.8%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,12.7%,0.3%,0.3%,0.2%,9.0%,34.9%,0.3%,0.0%,0.3%,4.3%,8.8%,0.2%,0.2%,11.1%,0.3%,0.3%,0.2%,5.0%,0.2%,26.2%,4.6%,0.3%,0.0%,3.9%,0.2%,0.2%,25.1%,0.3%,2.4%,5.6%,0.2%,0.0%,0.2%,4.2%,4.8%,4.4%,4.5%,3.4%,3.9%
2024-01-02 14:14:55,1.4%,1.2%,1.2%,4.0%,1.4%,1.5%,0.3%,0.2%,0.2%,0.2%,8.4%,17.8%,99.9%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,15.2%,0.3%,0.3%,0.2%,9.1%,34.5%,0.3%,0.0%,0.3%,4.3%,8.5%,0.2%,0.2%,10.6%,0.3%,0.2%,0.2%,5.2%,0.2%,25.7%,4.2%,0.3%,0.0%,4.0%,0.2%,0.3%,26.7%,0.3%,2.4%,6.1%,0.2%,0.0%,0.2%,3.7%,4.4%,4.3%,4.1%,3.6%,3.6%
2024-01-02 14:15:00,1.3%,1.3%,1.2%,4.0%,1.5%,1.5%,0.3%,0.2%,0.2%,0.2%,8.1%,17.8%,99.9%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,13.9%,0.2%,0.3%,0.2%,9.4%,33.4%,0.3%,0.0%,0.3%,4.1%,8.9%,0.2%,0.2%,10.0%,0.3%,0.2%,0.2%,4.8%,0.2%,24.2%,4.0%,0.2%,0.0%,4.1%,0.2%,0.2%,28.5%,0.3%,2.4%,6.2%,0.2%,0.0%,0.2%,4.2%,4.1%,3.9%,4.3%,3.5%,3.4%
2024-01-02 14:15:05,1.3%,1.3%,1.2%,4.0%,1.5%,1.5%,0.3%,0.2%,0.2%,0.2%,8.3%,18.0%,99.8%,0.0%,0.3%,0.2%,0.3%,0.2%,0.2%,13.1%,0.2%,0.3%,0.2%,9.3%,30.4%,0.2%,0.0%,0.2%,3.9%,8.6%,0.2%,0.2%,9.9%,0.3%,0.2%,0.2%,4.8%,0.2%,24.2%,3.9%,0.2%,0.0%,4.1%,0.2%,0.2%,29.4%,0.3%,2.4%,6.1%,0.2%,0.0%,0.2%,3.9%,4.2%,4.0%,4.1%,3.6%,3.7%
